variant,p_attach,rmse_2d,rmse_std_2d,rmse_std_paper,early_termination_2d,time_2d,retention_2d,command_response_gain,mean_absolute_displacement,stationary_rmse_same_commands,rmse_improvement_vs_stationary_percent,recovery_events,recovery_1_2,reattachment_1_2,rmse_paper,rmse_numeric_difference,early_termination_paper,early_termination_numeric_difference,time_paper,time_numeric_difference,retention_paper,retention_numeric_difference
full,1.0,0.2339591168754479,0.14357726224443657,0.089,0.0,10.0,74.71723220226212,3.4343370035247137e-18,0.03704491590912503,0.22820684488867368,-2.5206395494317255,0,,,0.1021,0.1318591168754479,0.0,0.0,10.0,0.0,79.67,-4.952767797737877
full,0.85,0.2339591168754479,0.14357726224443657,7.3437,0.0,10.0,74.71723220226212,3.4343370035247137e-18,0.03704491590912503,0.22820684488867368,-2.5206395494317255,0,,,0.5567,-0.32274088312455207,4.0,-4.0,9.73,0.2699999999999996,72.93,1.7872322022621177
no_curriculum,1.0,0.25455590957138163,0.1323137054345898,0.1803,0.0,10.0,50.56553559547572,-2.478620219673049e-13,0.09985247644444123,0.22820684488867368,-11.546132499032549,0,,,0.2055,0.049055909571381645,88.0,-88.0,5.8724,4.1276,98.5,-47.93446440452428
no_curriculum,0.85,0.25455590957138163,0.1323137054345898,,0.0,10.0,50.56553559547572,-2.478620219673049e-13,0.09985247644444123,0.22820684488867368,-11.546132499032549,0,,,,,,,,,,
no_probabilistic,1.0,0.2339591168754479,0.14357726224443657,0.0728,0.0,10.0,74.71723220226212,3.4343370035247137e-18,0.03704491590912503,0.22820684488867368,-2.5206395494317255,0,,,0.0844,0.1495591168754479,3.0,-3.0,9.7639,0.23610000000000042,76.33,-1.6127677977378738
no_probabilistic,0.85,0.2339591168754479,0.14357726224443657,29.1904,0.0,10.0,74.71723220226212,3.4343370035247137e-18,0.03704491590912503,0.22820684488867368,-2.5206395494317255,0,,,6.4677,-6.233740883124552,66.0,-66.0,6.5077,3.4923,42.51,32.20723220226213
no_modeling,1.0,0.25455584813779697,0.13231373466473412,26.2067,0.0,10.0,49.634065202927495,-4.023932884037144e-18,0.09985233779981158,0.22820684488867368,-11.546105578900203,0,,,5.1106,-4.856044151862203,48.0,-48.0,6.643,3.357,44.36,5.2740652029274955
no_modeling,0.85,0.25455584813779697,0.13231373466473412,,0.0,10.0,49.634065202927495,-4.023932884037144e-18,0.09985233779981158,0.22820684488867368,-11.546105578900203,0,,,,,,,,,,
